# time,flux_clean,flux_err
2.458462698578999843e+06,9.812588385710672156e-01,4.320463165999999938e-02
2.458462699967999943e+06,9.917016442619878136e-01,4.324778169000000061e-02
2.458462701357000042e+06,1.012404648031292487e+00,4.327704756999999763e-02
2.458462702746000141e+06,1.023493216237072234e+00,4.332591965999999656e-02
2.458462704134999774e+06,9.796219249099026305e-01,4.332209378000000111e-02
2.458462705523000099e+06,9.799388542639774213e-01,4.334432632000000118e-02
2.458462706912000198e+06,1.051434304095264283e+00,4.338216781999999772e-02
2.458462708300999831e+06,9.970890020214455696e-01,4.328181222000000022e-02
2.458462709689999931e+06,1.006175550814839115e+00,4.337491839999999682e-02
2.458462711079000030e+06,9.745712388882992183e-01,4.322009534000000042e-02
2.458462712468000129e+06,1.032095389558745691e+00,4.336358978999999697e-02
2.458462713857000228e+06,1.013882113828584952e+00,4.326224327000000036e-02
2.458462715245000087e+06,1.014832924678924497e+00,4.327614604999999864e-02
2.458462716634000186e+06,9.904687714809864429e-01,4.328094795000000244e-02
2.458462718022999819e+06,1.024794180027985169e+00,4.319295287000000233e-02
2.458462719411999919e+06,1.007162745341068311e+00,4.364270343999999968e-02
2.458462720801000018e+06,9.924191875066891155e-01,4.318317026000000058e-02
2.458462722190000117e+06,9.945950311631602814e-01,4.332268237999999799e-02
2.458462723579000216e+06,9.710448238437578983e-01,4.321856797000000333e-02
2.458462724967000075e+06,9.912038940564281697e-01,4.325418546999999780e-02
2.458462726356000174e+06,9.876309711969242233e-01,4.328529164000000096e-02
2.458462727744999807e+06,9.984588486999318446e-01,4.321780428000000090e-02
2.458462729133999906e+06,1.020982581764999564e+00,4.359754920000000200e-02
2.458462730523000006e+06,9.803441790303116798e-01,4.327357560000000269e-02
2.458462731912000105e+06,1.032151725804903331e+00,4.319516196999999974e-02
2.458462733299999963e+06,1.010803795193013999e+00,4.328719527000000206e-02
2.458462734689000063e+06,1.006190345427661725e+00,4.328378662000000043e-02
2.458462736078000162e+06,9.857998703580449495e-01,4.354076459999999676e-02
2.458462737466999795e+06,9.428950931882186248e-01,4.319981485999999787e-02
2.458462738855999894e+06,1.010774038547734843e+00,4.329472035000000302e-02
2.458462740244999994e+06,9.991910318215372344e-01,4.333394393000000039e-02
2.458462741634000093e+06,1.025203955195687744e+00,4.335757344999999902e-02
2.458462743021999951e+06,9.874619344418935629e-01,4.364044964000000221e-02
2.458462744411000051e+06,1.037912596095150297e+00,4.322886466999999872e-02
2.458462745800000150e+06,1.025167285052427824e+00,4.341052100000000052e-02
2.458462747188999783e+06,1.007378721094198681e+00,4.325711726999999923e-02
2.458462748577999882e+06,9.957188792486278972e-01,4.329668358000000189e-02
2.458462749966999982e+06,9.875242654217128990e-01,4.324332252000000210e-02
2.458462751356000081e+06,1.001334965271065025e+00,4.325467347999999851e-02
2.458462752743999939e+06,1.008526073128491518e+00,4.322819038999999725e-02
2.458462754133000039e+06,9.845031004768693972e-01,4.331771284000000138e-02
2.458462755522000138e+06,1.016108717759905744e+00,4.324444756000000306e-02
2.458462756910999771e+06,1.033129595971628900e+00,4.323829710000000326e-02
2.458462758299999870e+06,1.037276828538984397e+00,4.340030998000000279e-02
2.458462759688999970e+06,9.893543855239869123e-01,4.332958907000000054e-02
2.458462761078000069e+06,9.844602304424362460e-01,4.323711619000000089e-02
2.458462762465999927e+06,1.000643362786782786e+00,4.331669210999999908e-02
2.458462763855000027e+06,9.996860839500296692e-01,4.325303434999999697e-02
2.458462765244000126e+06,1.022685456687592920e+00,4.341601953000000236e-02
2.458462766633000225e+06,9.901562325937290909e-01,4.364491627000000040e-02
2.458462768021999858e+06,1.016972027356594754e+00,4.355660825999999736e-02
2.458462769410999957e+06,1.019003616469071671e+00,4.324036464000000080e-02
2.458462770798999816e+06,1.017547796580577923e+00,4.336240888000000154e-02
2.458462772187999915e+06,9.872687693799458986e-01,4.341851547000000200e-02
2.458462773577000014e+06,9.792938097044135981e-01,4.354117811000000199e-02
2.458462774966000114e+06,9.586433760544658123e-01,4.328547046000000287e-02
